elapsedTime;nombre;et_x;et_y;et_z;et_pixel_uv_x;et_pixel_uv_y;head_pose_x;head_pose_y;head_pose_z;head_euler_x;head_euler_y;head_euler_z;head_quat_xyzw;Eye_Right_Blink;Eye_Left_Blink
17.6880;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9210;-0.7363;0.8436252;0.8038439;-0.4221;1.6246;-1.2889;8.0124;270.0972;359.8759;(.0502, -.7047, .0486, .7060);0.0000;0.0000
17.7100;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9218;-0.7330;0.845623;0.8042701;-0.4222;1.6246;-1.2889;8.0275;270.1213;359.8980;(.0502, -.7046, .0488, .7062);0.0000;0.0000
17.7330;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9237;-0.7280;0.8485885;0.8054467;-0.4223;1.6246;-1.2888;8.0019;270.1446;359.9066;(.0500, -.7045, .0487, .7063);0.0000;0.0000
17.7550;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9276;-0.7276;0.848824;0.807796;-0.4224;1.6246;-1.2888;8.0329;270.1667;359.8798;(.0503, -.7043, .0487, .7064);0.0000;0.0000
17.7770;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9185;-0.7308;0.8469483;0.8023325;-0.4226;1.6245;-1.2888;8.0740;270.1862;359.8846;(.0506, -.7042, .0490, .7065);0.0000;0.0000
17.7990;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9166;-0.7289;0.8480579;0.8011614;-0.4228;1.6244;-1.2887;8.1347;270.1899;359.8851;(.0509, -.7041, .0494, .7065);0.0000;0.0000
17.8220;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9143;-0.7272;0.8491097;0.7997987;-0.4228;1.6243;-1.2886;8.1344;270.2177;359.9143;(.0508, -.7039, .0495, .7067);0.0000;0.0000
17.8440;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9153;-0.7257;0.8499898;0.8004133;-0.4229;1.6243;-1.2886;8.1482;270.2195;359.9101;(.0509, -.7039, .0496, .7067);0.0000;0.0000
17.8660;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9151;-0.7258;0.8499364;0.8002865;-0.4230;1.6244;-1.2886;8.1330;270.2260;359.9057;(.0508, -.7039, .0495, .7068);0.0000;0.0000
17.8880;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9185;-0.7194;0.8537651;0.8023077;-0.4230;1.6244;-1.2886;8.1232;270.2176;359.9057;(.0508, -.7039, .0494, .7067);0.0000;0.0000
17.9100;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.9240;-0.7162;0.8556873;0.8056396;-0.4230;1.6244;-1.2885;8.1408;270.2165;359.8900;(.0510, -.7039, .0494, .7067);0.0000;0.0000
