elapsedTime;nombre;et_x;et_y;deep
3.2950;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;323.36;447.88;3.28;
3.3170;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;322.62;444.49;3.28;
3.3390;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;259.67;445.37;3.22;
3.3620;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;125.55;471.34;3.08;
3.3840;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;121.86;468.09;3.08;
3.4060;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;163.88;467.90;3.12;
3.4290;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;140.58;465.22;3.10;
3.4510;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;128.54;464.33;3.08;
3.4740;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;129.54;461.76;3.09;
3.4960;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;95.56;420.21;3.05;
3.5180;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;64.32;443.46;3.02;
3.5400;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;55.77;442.34;3.02;
3.5620;Scene/Escenario/PanelesExteriores/Cube (1);-113.58;442.47;13.94;
3.5840;Scene/Escenario/PanelesExteriores/Cube;-95.13;440.81;15.32;
3.6050;Scene/Escenario/PanelesExteriores/Cube;-104.17;440.79;15.33;
3.6310;Scene/Escenario/PanelesExteriores/Cube;-106.67;441.77;15.33;
3.6480;Scene/Escenario/PanelesExteriores/Cube;-104.29;443.07;15.33;
3.6710;Scene/Escenario/PanelesExteriores/Cube (1);-106.43;448.09;14.17;
3.6930;Scene/Escenario/PanelesExteriores/Cube;-108.01;445.46;15.33;
3.7160;Scene/Escenario/PanelesExteriores/Cube (1);-108.66;442.61;14.10;
3.7370;Scene/Escenario/PanelesExteriores/Cube (1);-111.74;443.87;14.00;
3.7590;Scene/Escenario/PanelesExteriores/Cube (1);-109.69;444.83;14.06;
3.7820;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;24.13;447.94;2.99;
3.8040;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;121.39;454.25;3.08;
3.8260;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;120.70;458.62;3.08;
3.8500;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;94.67;459.38;3.05;
3.8710;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;125.08;460.36;3.08;
3.8960;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;131.37;459.54;3.09;
3.9160;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;126.98;460.48;3.08;
3.9370;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;124.96;460.97;3.08;
3.9600;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;122.89;461.22;3.08;
3.9830;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;125.27;460.77;3.08;
4.0040;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;126.08;460.64;3.08;
4.0270;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;153.67;452.58;3.11;
4.0490;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;244.78;481.57;3.20;
4.0710;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;320.42;428.68;3.28;
4.0930;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;365.41;368.80;3.33;
4.1150;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;344.08;477.29;3.31;
4.1370;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;359.84;473.28;3.32;
4.1590;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;361.77;463.31;3.33;
4.1830;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;377.89;471.37;3.34;
4.2030;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;377.94;471.79;3.34;
4.2260;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;378.26;472.04;3.34;
4.2490;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;318.71;455.41;3.28;
4.2710;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;287.53;454.47;3.24;
4.2930;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;309.14;462.53;3.27;
4.3150;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;323.91;466.17;3.28;
4.3370;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;323.39;462.22;3.28;
4.3600;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;325.01;462.65;3.29;
4.3820;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;320.47;456.85;3.28;
4.4040;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;318.90;460.44;3.28;
4.4270;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;316.45;459.02;3.28;
4.4490;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;298.95;454.14;3.26;
4.4710;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;321.02;467.02;3.28;
4.4930;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;307.05;464.83;3.27;
