elapsedTime;nombre;et_x;et_y;et_z;et_pixel_uv_x;et_pixel_uv_y;head_pose_x;head_pose_y;head_pose_z;head_euler_x;head_euler_y;head_euler_z
4.0150;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3635;-1.3368;0.4836375;0.469563;-0.4103;1.6290;-1.2985;5.9229;269.1443;0.8115
4.0380;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3628;-1.3344;0.4850446;0.4691401;-0.4103;1.6290;-1.2986;5.9383;269.1977;0.7809
4.0600;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3613;-1.3343;0.4850776;0.4682314;-0.4102;1.6289;-1.2986;5.9713;269.1989;0.7906
4.0820;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3614;-1.3329;0.485949;0.4682817;-0.4100;1.6289;-1.2986;5.9681;269.2331;0.8209
4.1040;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3616;-1.3327;0.4860539;0.4684165;-0.4099;1.6290;-1.2987;5.9642;269.2376;0.8505
4.1260;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3634;-1.3314;0.4868257;0.4695128;-0.4098;1.6290;-1.2986;5.9242;269.2654;0.8607
4.1480;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3648;-1.3321;0.486453;0.4703434;-0.4097;1.6290;-1.2985;5.8941;269.2496;0.8638
4.1720;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3641;-1.3314;0.4868746;0.4699349;-0.4096;1.6291;-1.2985;5.9101;269.2647;0.8643
4.1920;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3658;-1.3312;0.4869642;0.4709393;-0.4095;1.6291;-1.2984;5.8727;269.2661;0.8542
4.2150;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3668;-1.3300;0.4876926;0.4715307;-0.4096;1.6291;-1.2984;5.8527;269.2940;0.8524
4.2370;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3673;-1.3277;0.489083;0.4718615;-0.4095;1.6291;-1.2984;5.8402;269.3448;0.8334
4.2590;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3647;-1.3273;0.4893299;0.4702608;-0.4095;1.6290;-1.2984;5.8966;269.3534;0.8350
4.2820;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3618;-1.3259;0.4901305;0.4685486;-0.4096;1.6290;-1.2984;5.9598;269.3830;0.8850
4.3040;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3609;-1.3254;0.490449;0.4680365;-0.4097;1.6289;-1.2983;5.9768;269.3946;0.8682
4.3260;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3606;-1.3257;0.4902856;0.4678587;-0.4099;1.6289;-1.2984;5.9836;269.3886;0.8295
4.3490;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3587;-1.3261;0.4900264;0.4666685;-0.4099;1.6288;-1.2985;6.0261;269.3816;0.8634
